dataset_mnemonic,dataset_title,geographic_variable_mnemonic,source_database_mnemonic,classification_mnemonic,Area Profiles derived classification,Change over time derived classification,Census Atlas derived classification,Census Atlas choropleth default classification,Census Atlas dot density default classification,topic_description,2011 data required for Articles and bulletins?,2021 data Required for Articles and bulletins?,2021 data Required for Area Profiles?,2011 data Required for change over time?,2021 data required for change over time?,2011 data Required for Census Atlas?(If available),2021 data Required for Census Atlas?,Geographies required for Articles and bulletins,Geographies required for Area Profiles,Geographies required for Census Atlas,Geographies required for Change over time,"2021 data priority for Articles and bulletins (High, Medium, Low)","2011 data priority for Articles and bulletins (High, Medium, Low)","2021 data priority for Area Profiles (High, Medium, Low)","2021 data priority for Change over time (High, Medium, Low)","2011 data priority for Change over time (High, Medium, Low)","2021 data priority for Census Atlas (High, Medium, Low)","2011 data priority for Census Atlas (High, Medium, Low)",Topic Summary release date,2011 data required by Rob G by (Date),Data and calculations required by Rich Content and Mike Roskams by (Date),Notes
TS001,Number of usual residents in households and communal establishments,OA/LSOA/MSOA/LA/Region/Country,usual residents,residence_type (2 categories),N/A,,,,,Demography,Y,Y,Y,,,N,N,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA",,MEDIUM,MEDIUM,HIGH,,,,,04-Oct-22,,,
TS002,Legal partnership status,OA/LSOA/MSOA/LA/Region/Country,ur,legal_partnership_status (12 categories),legal_partnership_status_6a,legal_partnership_status_6a,"legal_partnership_status_3a,
legal_partnership_status_6a",legal_partnership_status_3a,legal_partnership_status_3a,Demography,Y,Y,Y,Y,Y,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA","E&W, Country, Region, Local authority (lower and upper)",HIGH,HIGH,HIGH,HIGH,HIGH,,,04-Oct-22,,,
TS003,Household composition,OA/LSOA/MSOA/LA/Region/Country,hh,hh_family_composition_15a,hh_family_composition_4a,hh_family_composition_8a,hh_family_composition_4a,hh_family_composition_4a,hh_family_composition_4a,Demography,Y,Y,Y,Y,Y,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier) ,MSOA, OA","E&W, Country, Region, Local authority (lower and upper)",HIGH,HIGH,HIGH,HIGH,HIGH,,,04-Oct-22,,,
TS004,Country of birth,LA/Region/Country,ur,country_of_birth_12a,,,,,,Migration,Y,Y,Y,Y,Y,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA","E&W, Country, Region, Local authority (lower and upper)",HIGH,HIGH,HIGH,HIGH,HIGH,,,04-Oct-22,,,country_of_birth_8a will be derived from country_of_birth_60a not 12a.
TS005,Passports held,OA/LSOA/MSOA/LA/Region/Country,ur,passports_all_27a,,,"passports_all_4a,

passports_all_13a,

passports_all_18a",passports_all_4a,passports_all_4a,Migration,Y,Y,N,,,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA",,HIGH,HIGH,N/A,,,,,04-Oct-22,,,
TS006,Population density,OA/LSOA/MSOA/LA/Region/Country,usual residents,usual_resident_ind (2 categories),N/A,"Per football pitch:

105 metres x 68 metres = 7,140m2",,,,Demography,Y,Y,Y,Y,Y,N,N,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA","E&W, Country, Region, Local authority (lower and upper)",HIGH,HIGH,HIGH,HIGH,HIGH,,,04-Oct-22,,,
TS007,Age by single year,MSOA/LA/Region/Country,ur,resident_age_101a,resident_age_11a,resident_age_11a,"resident_age_3a,

resident_age_8c,

resident_age_11a",resident_age_3a,resident_age_3a,Demography,Y,Y,Y,,,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA",,HIGH,HIGH,HIGH,,,,,04-Oct-22,,,"It's not a planned table, but we'd really like median age if possible for many of the products (Atlas, change over time etc)"
TS008,Sex,OA/LSOA/MSOA/LA/Region/Country,ur,sex (2 categories),N/A,,,sex,sex,Demography,Y,Y,Y,,,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA",,HIGH,HIGH,HIGH,,,,,04-Oct-22,,,
TS009,Sex by single year of age,LA/Region/Country,ur,"sex (2 categories), resident_age_91a",,,,,,Demography,Y,Y,N,,,N,N,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier) ,MSOA, OA",,HIGH,HIGH,N/A,,,,,04-Oct-22,,,
TS010,Living arrangements,MSOA/LA/Region/Country,ur_in_hh,living_arrangements_11a,,,,living_arrangements_11a,,Demography,Y,Y,N,,,Y,Y,LA/Region/Country,OA to England and Wales hierarchy,"E&W, Country, Region, Local authority (just lower-tier), MSOA, OA",,HIGH,HIGH,N/A,,,,,04-Oct-22,,,
